match_id,market_id,market_name,is_live,suspended,initial_fractional_value,fractional_value,choice_name,choice_source_id,winnig,change
12193165,1,full_time,False,False,6/4,6/4,2,166577203,False,0
12193179,1,full_time,False,False,6/4,6/4,1,166630199,False,0
12193179,1,full_time,False,False,1/2,1/2,2,166630323,True,0
12193289,1,full_time,False,False,13/2,13/2,1,167940793,False,0
12193289,1,full_time,False,False,1/14,1/14,2,167941052,True,0
12193290,1,full_time,False,False,1/6,1/6,1,167937506,True,0
12193290,1,full_time,False,False,7/2,7/2,2,167937560,False,0
12193292,1,full_time,False,False,1/7,1/7,1,167939704,True,0
12193292,1,full_time,False,False,4/1,4/1,2,167939920,False,0
12193293,1,full_time,False,False,1/,1/,1,167937077,True,0
12193293,1,full_time,False,False,9/2,9/2,2,167937192,False,0
12193294,1,full_time,False,False,1/500,1/500,1,167941546,True,0
12193294,1,full_time,False,False,20/1,20/1,2,167941620,False,0
12193295,1,full_time,False,False,1/6,1/6,1,167942081,True,0
12193295,1,full_time,False,False,7/2,7/2,2,167942116,False,0
12193297,1,full_time,False,False,8/13,8/13,1,166985778,False,0
12193297,1,full_time,False,False,6/5,6/5,2,166985933,True,0
12193336,1,full_time,False,False,6/4,6/4,1,166986031,False,0
